"Data","Obesogenic diet relative protein content","Mean","CI.lb","CI.ub","p","R2","row"
"One-off lnRR",,,,,,0.001,1
,"Intercept",0.085,-0.074,0.244,0.295,,2
,"Slope",0.006,-0.017,0.028,0.629,,3
"One-off lnCVR",,,,,,0,4
,"Intercept",0.036,-0.138,0.21,0.684,,5
,"Slope",-0.008,-0.123,0.108,0.897,,6
"Multigenerational lnRR",,,,,,0.02,7
,"Intercept",0.367,0.102,0.632,0.007,,8
,"Slope",0.068,-0.077,0.213,0.361,,9
"Multigenerational lnCVR",,,,,,0.006,10
,"Intercept",-0.073,-0.292,0.147,0.517,,11
,"Slope",-0.04,-0.184,0.104,0.585,,12
